LEGO element ID,Amount,Name,Color,Alt. ID
6004927,2,PLATE 16X16 ,Dark Stone Grey ,
6020990,4,PARABOLIC RING ,Silver Metallic ,
6034493,2,PLATE OCTAGONAL 10X10 W. SNAP ,Medium Stone Grey ,
6045912,2,Plate Round 4X4 with Ø16mm hole ,Black ,
6052126,2,PLATE 2X2X2/3 W. 2. HOR. KNOB ,Black ,
6055313,4,FLAT TILE 2×2 ROUND W. HOLE Ø4.85 ,Dark Stone Grey ,
6089119,16,CROSS AXLE 2M W. SNAP W. FRIC. ,Black ,
6092572,8,PLATE 1X2 W. 1 KNOB ,Dark Stone Grey ,
6092585,24,PLATE 1X2 W. 1 KNOB ,Black ,
6092601,16,PLATE 1X2 W. 1 KNOB ,Medium Blue ,
6138682,2,MINI FIGURE TROPHY ,Brick Yellow ,6107894 6122835
